Name,Members FTE,Lobbying cost,Interest represented,EP passes on 2026-05-25,all EP passes,Meetings,country,gdp_usd,population,inflation_rate,gdp_per_capita,lobbying_gdp_ratio
ORLEN S.A.,9.5,2250000,Promotes their own interests or the collective interests of their members,5.0,25.0,28.0,Poland,695607470875.276,36821749.0,14.4294507575758,18891.21211692785,3234.5828562894058
European Mortgage Federation - European Covered Bond Council,12.0,2250000,Promotes their own interests or the collective interests of their members,0.0,78.0,11.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,3806.554079745219
International Swaps and Derivatives Association,4.0,2250000,Promotes their own interests or the collective interests of their members,1.0,36.0,39.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,87.87398074945058
Fédération Française de l'Assurance,11.5,2250000,Promotes their own interests or the collective interests of their members,8.0,94.0,24.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,805.0699694043064
Confederation of Danish Industry,10.85,2250000,Promotes their own interests or the collective interests of their members,12.0,144.0,73.0,Denmark,400114306337.077,5903037.0,7.69656699889259,67781.09409395147,5623.393026353033
JT International,6.0,2250000,Promotes their own interests or the collective interests of their members,5.0,66.0,4.0,Switzerland,828508926958.393,8777088.0,2.83502798644451,94394.51068035241,2715.7220963932873
Acumen Public Affairs,30.2,2250000,Advances interests of their clients,52.0,387.0,16.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,3806.554079745219
Robert Bosch GmbH,12.0,2250000,Promotes their own interests or the collective interests of their members,7.0,60.0,126.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,535.5839977046904
Alber & Geiger,12.5,2100000,Advances interests of their clients,4.0,127.0,13.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,499.87839785771115
#SustainablePublicAffairs,23.0,2025000,Advances interests of their clients,20.0,84.0,29.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,3425.898671770697
Euroseeds,14.0,2000000,Promotes their own interests or the collective interests of their members,4.0,44.0,24.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,3383.6036264401946
LVMH - Moët Hennessy Louis Vuitton,5.7,2000000,Promotes their own interests or the collective interests of their members,4.0,48.0,62.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,715.6177505816057
TikTok Technology Ltd,7.85,2000000,Promotes their own interests or the collective interests of their members,4.0,18.0,54.0,Ireland,548341794599.09,5212836.0,7.82945736434105,105190.68595273091,3647.360131398087
F. Hoffmann-La Roche Ltd,5.7,2000000,Promotes their own interests or the collective interests of their members,1.0,18.0,13.0,Switzerland,828508926958.393,8777088.0,2.83502798644451,94394.51068035241,2413.9751967940333
Mercedes-Benz Group AG,5.5,2000000,Promotes their own interests or the collective interests of their members,4.0,68.0,103.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,476.0746646263915
Airbus,6.0,2000000,Promotes their own interests or the collective interests of their members,3.0,105.0,395.0,Netherlands,1046540797548.64,17700982.0,10.0012078753473,59123.31855648687,1911.057843788499
Boehringer Ingelheim,2.0,2000000,Promotes their own interests or the collective interests of their members,3.0,38.0,11.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,476.0746646263915
Novo Nordisk A/S,3.55,2000000,Promotes their own interests or the collective interests of their members,1.0,22.0,24.0,Denmark,400114306337.077,5903037.0,7.69656699889259,67781.09409395147,4998.5715789804735
BP p.l.c.,5.6,2000000,Promotes their own interests or the collective interests of their members,1.0,72.0,78.0,United Kingdom,3181244350465.41,67604000.0,7.92204883147902,47057.0432291789,628.6848099887089
ELECTRICITE DE FRANCE,7.35,2000000,Promotes their own interests or the collective interests of their members,9.0,123.0,163.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,715.6177505816057
Liepaja Special Economic Zone Authority,3.75,2000000,Promotes their own interests or the collective interests of their members,0.0,0.0,0.0,Latvia,38003198508.9107,1879383.0,17.3102830198815,20221.103686109058,52627.14925247819
Cisco Systems Inc.,5.95,2000000,Promotes their own interests or the collective interests of their members,3.0,26.0,110.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,78.11020511062274
"Telefonica, S.A.",5.5,2000000,Promotes their own interests or the collective interests of their members,6.0,83.0,182.0,Spain,1448850658406.62,47786102.0,8.39057634118626,30319.49871966163,1380.404521608534
GOLDBECK SOLAR Investment Ukraine,4.1,2000000,Promotes their own interests or the collective interests of their members,0.0,0.0,1.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,476.0746646263915
Bayerische Motoren Werke Aktiengesellschaft,9.25,2000000,Promotes their own interests or the collective interests of their members,7.0,65.0,158.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,476.0746646263915
Honeywell Europe NV,2.5,2000000,Promotes their own interests or the collective interests of their members,3.0,25.0,42.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,3383.6036264401946
ENGIE,3.95,2000000,Promotes their own interests or the collective interests of their members,6.0,90.0,123.0,France,2794788137066.94,68184457.0,5.22236748369725,40988.63964065799,715.6177505816057
Siemens Energy AG,7.65,2000000,Promotes their own interests or the collective interests of their members,5.0,17.0,78.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,476.0746646263915
Political Intelligence Brussels,15.8,1995000,Advances interests of their clients,14.0,172.0,10.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,3375.144617374094
FIPRA International SRL,70.25,1970000,Advances interests of their clients,40.0,525.0,85.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,3332.8495720435917
logos public affairs,23.5,1960000,Advances interests of their clients,21.0,184.0,19.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,3315.931553911391
Hanbury Strategy and Communications Limited,12.5,1795000,Advances interests of their clients,15.0,58.0,4.0,United Kingdom,3181244350465.41,67604000.0,7.92204883147902,47057.0432291789,564.2446169648663
Merck Sharp & Dohme Europe Belgium SRL,6.25,1750000,Promotes their own interests or the collective interests of their members,15.0,115.0,45.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,68.3464294717949
Finance Denmark,10.0,1750000,Promotes their own interests or the collective interests of their members,3.0,29.0,30.0,Denmark,400114306337.077,5903037.0,7.69656699889259,67781.09409395147,4373.750131607915
International Code of Conduct for Private Security Service Providers Association,8.0,1750000,Promotes their own interests or the collective interests of their members,0.0,0.0,0.0,Switzerland,828508926958.393,8777088.0,2.83502798644451,94394.51068035241,2112.2282971947793
Finance Watch,7.0,1750000,Promotes their own interests or the collective interests of their members,7.0,94.0,38.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2960.65317313517
Alliance Europeennee des YMCAs,2.25,1750000,Promotes their own interests or the collective interests of their members,0.0,2.0,2.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2960.65317313517
European Association of Co-operative Banks,6.0,1750000,Promotes their own interests or the collective interests of their members,6.0,155.0,42.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2960.65317313517
Merck,4.45,1750000,Promotes their own interests or the collective interests of their members,6.0,60.0,35.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,416.56533154809256
Deutscher Sparkassen-und Giroverband,5.5,1750000,Promotes their own interests or the collective interests of their members,5.0,87.0,76.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,416.56533154809256
Eurasia Group Ltd.,0.25,1750000,Promotes their own interests or the collective interests of their members,0.0,0.0,24.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,68.3464294717949
Intel Corporation,2.8,1750000,Promotes their own interests or the collective interests of their members,1.0,47.0,73.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,68.3464294717949
IBM Corporation,6.25,1750000,Promotes their own interests or the collective interests of their members,6.0,59.0,168.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,68.3464294717949
Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.,9.35,1750000,Promotes their own interests or the collective interests of their members,5.0,85.0,72.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,416.56533154809256
RWE AG,6.5,1750000,Promotes their own interests or the collective interests of their members,3.0,48.0,65.0,Germany,4201021706478.62,83177813.0,6.87257438551096,50506.51796385438,416.56533154809256
EUROPEAN APPAREL AND TEXTILE CONFEDERATION,12.75,1750000,Promotes their own interests or the collective interests of their members,7.0,67.0,41.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2960.65317313517
European Savings and Retail Banking Group,11.5,1750000,Promotes their own interests or the collective interests of their members,12.0,158.0,32.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2960.65317313517
Vodafone Belgium SA,10.5,1750000,Promotes their own interests or the collective interests of their members,7.0,77.0,212.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2960.65317313517
Associazione Bancaria Italiana,8.0,1750000,Promotes their own interests or the collective interests of their members,8.0,67.0,59.0,Italy,2104067630319.46,59013667.0,8.20128991161718,35653.90421034944,831.7223148071045
Afore Consulting,2.4,1740000,Advances interests of their clients,7.0,200.0,58.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2943.7351550029693
EU Focus Group,12.5,1620000,Advances interests of their clients,0.0,8.0,4.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2740.7189374165573
Hanover Communications International,13.5,1565000,Advances interests of their clients,7.0,146.0,7.0,Belgium,591085783326.267,11680210.0,9.597511728725,50605.749667708624,2647.6698376894524
Managed Funds Association,3.4,1500000,Promotes their own interests or the collective interests of their members,2.0,4.0,38.0,United States,25604848907611.0,334017321.0,8.00279982052121,76657.24888444034,58.58265383296706
