"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
5149794935-37,"Fédération Française de l'Assurance",11.5,2250000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,8,94,24,https://www.lobbyfacts.eu/datacard/fédération-française-de-lassurance?rid=5149794935-37
5749958415-41,"Confederation of Danish Industry",10.85,2250000,"Promotes their own interests or the collective interests of their members",DENMARK,BELGIUM,12,144,73,https://www.lobbyfacts.eu/datacard/confederation-of-danish-industry?rid=5749958415-41
71175716023-03,"JT International",6,2250000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,5,66,4,https://www.lobbyfacts.eu/datacard/jt-international?rid=71175716023-03
85679286747-21,"Acumen Public Affairs",30.2,2250000,"Advances interests of their clients",BELGIUM,BELGIUM,52,387,16,https://www.lobbyfacts.eu/datacard/acumen-public-affairs?rid=85679286747-21
8999533555-91,"Robert Bosch GmbH",12,2250000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,7,60,126,https://www.lobbyfacts.eu/datacard/robert-bosch-gmbh?rid=8999533555-91
67820416722-09,"Alber & Geiger",12.5,2100000,"Advances interests of their clients",GERMANY,BELGIUM,4,127,13,https://www.lobbyfacts.eu/datacard/alber--geiger?rid=67820416722-09
925995939257-35,#SustainablePublicAffairs,23,2025000,"Advances interests of their clients",BELGIUM,BELGIUM,20,84,29,https://www.lobbyfacts.eu/datacard/sustainablepublicaffairs?rid=925995939257-35
11362308587-10,Euroseeds,14,2000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,4,44,24,https://www.lobbyfacts.eu/datacard/euroseeds?rid=11362308587-10
16094042309-21,"LVMH - Moët Hennessy Louis Vuitton",5.7,2000000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,4,48,62,https://www.lobbyfacts.eu/datacard/lvmh---moët-hennessy-louis-vuitton?rid=16094042309-21
165202837974-32,"TikTok Technology Ltd",7.85,2000000,"Promotes their own interests or the collective interests of their members",IRELAND,BELGIUM,4,18,54,https://www.lobbyfacts.eu/datacard/tiktok-technology-ltd?rid=165202837974-32
18940431725-51,"F. Hoffmann-La Roche Ltd",5.7,2000000,"Promotes their own interests or the collective interests of their members",SWITZERLAND,BELGIUM,1,18,13,https://www.lobbyfacts.eu/datacard/f-hoffmann-la-roche-ltd?rid=18940431725-51
2349218828-41,"Mercedes-Benz Group AG",5.5,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,4,68,103,https://www.lobbyfacts.eu/datacard/mercedes-benz-group-ag?rid=2349218828-41
2732167674-76,Airbus,6,2000000,"Promotes their own interests or the collective interests of their members",NETHERLANDS,BELGIUM,3,105,395,https://www.lobbyfacts.eu/datacard/airbus?rid=2732167674-76
289777818743-24,"Boehringer Ingelheim",2,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,3,38,11,https://www.lobbyfacts.eu/datacard/boehringer-ingelheim?rid=289777818743-24
29570313329-11,"Novo Nordisk A/S",3.55,2000000,"Promotes their own interests or the collective interests of their members",DENMARK,DENMARK,1,22,24,https://www.lobbyfacts.eu/datacard/novo-nordisk-a-s?rid=29570313329-11
3394026642-58,"BP p.l.c.",5.6,2000000,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM",BELGIUM,1,72,78,https://www.lobbyfacts.eu/datacard/bp-plc?rid=3394026642-58
39966101835-69,"ELECTRICITE DE FRANCE",7.35,2000000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,9,123,163,https://www.lobbyfacts.eu/datacard/electricite-de-france?rid=39966101835-69
4784631100305-54,"Liepaja Special Economic Zone Authority",3.75,2000000,"Promotes their own interests or the collective interests of their members",LATVIA,LATVIA,,,,https://www.lobbyfacts.eu/datacard/liepaja-special-economic-zone-authority?rid=4784631100305-54
494613715191-85,"Cisco Systems Inc.",5.95,2000000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,3,26,110,https://www.lobbyfacts.eu/datacard/cisco-systems-inc?rid=494613715191-85
52431421-12,"Telefonica, S.A.",5.5,2000000,"Promotes their own interests or the collective interests of their members",SPAIN,BELGIUM,6,83,182,https://www.lobbyfacts.eu/datacard/telefonica-sa?rid=52431421-12
641308195524-67,"GOLDBECK SOLAR Investment Ukraine",4.1,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/goldbeck-solar-investment-ukraine?rid=641308195524-67
7193977808-18,"Bayerische Motoren Werke Aktiengesellschaft",9.25,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,7,65,158,https://www.lobbyfacts.eu/datacard/bayerische-motoren-werke-aktiengesellschaft?rid=7193977808-18
75311753240-67,"Honeywell Europe NV",2.5,2000000,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,3,25,42,https://www.lobbyfacts.eu/datacard/honeywell-europe-nv?rid=75311753240-67
90947457424-20,ENGIE,3.95,2000000,"Promotes their own interests or the collective interests of their members",FRANCE,BELGIUM,6,90,123,https://www.lobbyfacts.eu/datacard/engie?rid=90947457424-20
974875639237-65,"Siemens Energy AG",7.65,2000000,"Promotes their own interests or the collective interests of their members",GERMANY,BELGIUM,5,17,78,https://www.lobbyfacts.eu/datacard/siemens-energy-ag?rid=974875639237-65
34863197284-43,"Political Intelligence Brussels",15.8,1995000,"Advances interests of their clients",BELGIUM,BELGIUM,14,172,10,https://www.lobbyfacts.eu/datacard/political-intelligence-brussels?rid=34863197284-43
58746194306-23,"FIPRA International SRL",70.25,1970000,"Advances interests of their clients",BELGIUM,BELGIUM,40,525,85,https://www.lobbyfacts.eu/datacard/fipra-international-srl?rid=58746194306-23
5067624792-06,"logos public affairs",23.5,1960000,"Advances interests of their clients",BELGIUM,BELGIUM,21,184,19,https://www.lobbyfacts.eu/datacard/logos-public-affairs?rid=5067624792-06
884060637263-03,"Hanbury Strategy and Communications Limited",12.5,1795000,"Advances interests of their clients","UNITED KINGDOM",BELGIUM,15,58,4,https://www.lobbyfacts.eu/datacard/hanbury-strategy-and-communications-limited?rid=884060637263-03
09824113589-92,"Merck Sharp & Dohme Europe Belgium SRL",6.25,1750000,"Promotes their own interests or the collective interests of their members","UNITED STATES",BELGIUM,15,115,45,https://www.lobbyfacts.eu/datacard/merck-sharp--dohme-europe-belgium-srl?rid=09824113589-92
20705158207-35,"Finance Denmark",10,1750000,"Promotes their own interests or the collective interests of their members",DENMARK,BELGIUM,3,29,30,https://www.lobbyfacts.eu/datacard/finance-denmark?rid=20705158207-35
