Name,Members FTE,Lobbying cost,Interest represented,Head office,EU office,EP passes on 2026-05-25,all EP passes,Meetings,country_merge,policy_areas
Teneo Brussels,13.5,3425000,Advances interests of their clients,United States,Belgium,14.0,280.0,48.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
NOVE,20.1,3165000,Advances interests of their clients,Belgium,Belgium,28.0,259.0,39.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade', 'Environment']"
FGS Global (Belgium) BV,40.0,3160000,Advances interests of their clients,Belgium,Belgium,19.0,56.0,15.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Agriculture', 'Transport', 'Health', 'Energy', 'Trade']"
Bundesverband Öffentlicher Banken Deutschlands eV,19.25,3000000,Promotes their own interests or the collective interests of their members,Germany,Belgium,5.0,63.0,36.0,Germany,['Finance & Banking']
TotalEnergies SE,4.25,3000000,Promotes their own interests or the collective interests of their members,France,Belgium,8.0,107.0,112.0,France,"['Artificial Intelligence', 'Finance & Banking', 'Transport', 'Energy', 'Trade', 'Environment']"
WindEurope,14.75,3000000,Promotes their own interests or the collective interests of their members,Belgium,Belgium,15.0,108.0,152.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Energy', 'Trade', 'Environment']"
Chamber of Commerce of the United States of America,5.45,3000000,Promotes their own interests or the collective interests of their members,United States,United States,0.0,1.0,61.0,United States,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Transport', 'Health', 'Energy', 'Trade', 'Environment', 'Justice & Rights']"
Edelman Public Relations Worldwide,25.0,2785000,Advances interests of their clients,Belgium,Belgium,17.0,210.0,27.0,Belgium,"['Artificial Intelligence', 'Finance & Banking', 'Digital Markets', 'Agriculture', 'Transport', 'Health', 'Energy', 'Environment']"
Bundesverband der Deutschen Volksbanken und Raiffeisenbanken,12.9,2750000,Promotes their own interests or the collective interests of their members,Germany,Belgium,7.0,28.0,37.0,Germany,"['Artificial Intelligence', 'Finance & Banking']"
Investment Company Institute,5.85,2750000,Promotes their own interests or the collective interests of their members,United States,Belgium,5.0,44.0,48.0,United States,"['Finance & Banking', 'Trade']"
